Stock,Model,MSE,RMSE,MAE,MAPE
2318.HK,Linear Regression,1.2626836816988491,1.1236919870226223,0.7423254365127815,0.01684144113192375
2318.HK,Decision Tree,1.5646012326996708,1.2508402106982612,0.8814404227388567,0.020224806796764506
2318.HK,LSTM,2.963975877063202,1.721620131464314,1.187293265784919,0.026527664046874386
3690.HK,Linear Regression,29.893100142093985,5.467458289012728,3.7746745957853585,0.025863811883344315
3690.HK,Decision Tree,39.51541140603439,6.286128491053487,4.397194724584951,0.030559493215987703
3690.HK,LSTM,38.50920323024806,6.205578396108462,4.143541622466555,0.028335386362531943
0288.HK,Linear Regression,0.011169774714572405,0.1056871549175793,0.0792296980181699,0.013603886428956357
0288.HK,Decision Tree,0.7697083790729926,0.8773302565584938,0.5215723073270585,0.07216453334511971
0288.HK,LSTM,0.07198365588402002,0.26829770010944937,0.22522561366672794,0.03596105918821528
0002.HK,Linear Regression,0.29336072187990275,0.5416278444466299,0.3939553573696914,0.006235948991424506
0002.HK,Decision Tree,0.3580261017477714,0.5983528237986108,0.45904758679335167,0.007257229887673531
0002.HK,LSTM,2.2417901158163334,1.4972608709962114,1.3974549848954765,0.021796967514784917
0005.HK,Linear Regression,1.4143235958721954,1.189253377490346,0.7136467838052268,0.008953567970397158
0005.HK,Decision Tree,757.0213953920388,27.514021796023183,22.954610635970127,0.26384187874476245
0005.HK,LSTM,54.54710321107173,7.385601073106489,6.771351095042882,0.08192280433155301
